,Questions,Response,Ai-generated
1244,,"The 'ticking budget' facing the US

The budget proposals laid out by the administration of US President George W Bush are highly controversial. The Washington-based Economic Policy Institute, which tends to be critical of the President, looks at possible fault lines. US politicians and citizens of all political persuasions are in for a dose of shock therapy. Without major changes in current policies and political prejudices, the federal budget simply cannot hold together. News coverage of the Bush budget will be dominated by debates about spending cuts, but the fact is these will be large cuts in small programs. From the standpoint of the big fiscal trends, the cuts are gratuitous and the big budget train wreck is yet to come. Under direct threat will be the federal government's ability to make good on its debts to the Social Security Trust Fund. As soon as 2018, the fund will begin to require some cash returns on its bond holdings in order to finance all promised benefits.

The trigger for the coming shock will be rising federal debt, which will grow in 10 years, by conservative estimates, to more than half the nation's total annual output.

This upward trend will force increased borrowing by the federal government, putting upward pressure on interest rates faced by consumers and business. Even now, a growing share of US borrowing is from abroad. The US Government cannot finance its operations without heavy borrowing from the central banks of Japan and China, among other nations. This does not bode well for US influence in the world. The decline of the dollar is a warning sign that current economic trends cannot continue. The dollar is already sinking. Before too long, credit markets are likely to react, and interest rates will creep upwards. That will be the shock.

Interest-sensitive industries will feel pain immediately - sectors such as housing, automobiles, other consumer durables, agriculture, and small business. Some will recall the news footage of angry farmers driving their heavy equipment around the US Capitol in the late 1970s. There will be no need for constitutional amendments to balance the budget. The public outcry will force Congress to act. Whether it will act wisely is another matter. How did this happen?

By definition, the deficit means too little revenue and too much spending - but this neutral description doesn't adequately capture the current situation. Federal revenues are at 1950s levels, while spending remains where it has been in recent decades - much higher. In addition, the United States has two significant military missions. The Bush administration's chosen remedy is the least feasible one. Reducing domestic spending, or eliminating ""waste, fraud and abuse"" is toothless because this slice of the budget is too small to solve the problem. Indeed, if Congress were rash enough to balance the budget in this way, there would hardly be any such spending left. Law enforcement, space exploration, environmental clean-up, economic development, the Small Business Administration, housing, veterans' benefits, aid to state and local governments would all but disappear. It's fantasy to think these routine government functions could be slashed. The biggest spending growth areas are defence (including homeland security), and health care for the elderly and the poor. To some extent, increases in these areas are inevitable. The US population is aging, and the nation does face genuine threats in the world. But serious savings can only be found where the big money is. Savings in health care spending that do not come at the expense of health can only be achieved with wholesale reform of the entire system, public and private. Brute force budget cuts or spending caps would ill-serve the nation's elderly and indigent.

On the revenue side, the lion's share of revenue lost to tax cuts enacted since 2000 will have to be replaced.

Some rearranging could hold many people harmless and focus most of the pain on those with relatively high incomes. Finally, blind allegiance to a balanced budget will have to be abandoned. There is no good reason to fixate on it, anyway. Moderate deficits and slowly rising federal debt can be sustained indefinitely. Borrowing for investments in education and infrastructure that pay off in future years makes sense. The sooner we face that reality, the sooner workable reforms can be pursued. First on the list should be tax reform to raise revenue, simplify the tax code, and restore some fairness eroded by the Bush tax cuts. Second should be a dispassionate re-evaluation of the huge increase in defence spending over the past three years, much of it unrelated to Afghanistan, Iraq, or terrorism. Third must be the start of a serious debate on large-scale health care reform. One thing is certain - destroying the budget in order to save it is not going to equip the US economy and government for the challenges of this new century.
",0
1245,,"Ebbers 'aware' of WorldCom fraud

Former WorldCom boss Bernie Ebbers was directly involved in the $11bn financial fraud at the firm, his closest associate has told a US court.

Giving evidence in the criminal trial of Mr Ebbers, ex-finance chief Scott Sullivan implicated his colleague in the accounting scandal at the firm. Mr Sullivan, WorldCom's former number two, is the government's chief witness in its case against Mr Ebbers. Mr Ebbers has denied multiple charges of conspiracy and fraud.

Senior WorldCom executives are accused of orchestrating a huge fraud at the former telecoms company in which they exaggerated revenues and hid the cost of expenses. The firm was forced into bankruptcy, the largest in US history. Mr Sullivan, 42, pleaded guilty to fraud last year and agreed to assist the government with its case against Mr Ebbers.

Prosecutors have alleged that Mr Ebbers, 63, directed Mr Sullivan to hide the true state of the company's finances by providing false information to the firm's accountants. Mr Ebbers has denied all the charges, saying he was unaware of the fraud. His lawyers claim that their client was unfamiliar with detailed accounting practices and left that side of the business to Mr Sullivan.

However, on Monday Mr Sullivan named Mr Ebbers as one of five executives who participated in the accounting fraud. ""He [Ebbers] has got a hands-on grasp of financial information,"" Mr Sullivan told a New York court. On his first day of questioning, Mr Sullivan admitted to falsifying the company's financial statements.

""We did not disclose these adjustments,"" he said. ""We did not talk about these adjustments and the information was false."" Mr Sullivan said his former boss knew more about accounting matters than many chief financial officers and described him as ""detail-oriented"".

He portrayed Mr Ebbers, a charismatic businessman who built up WorldCom from a small regional operator into one of America's largest telecoms firms, as obsessed with costs. ""He would talk about that there were more coffee filters than coffee bags and that means employees are taking coffee home,"" he said. ""We needed to cut expenses. We needed to cut a lot more than coffee expenses."" Mr Sullivan is at the centre of the government's case against Mr Ebbers. Mr Ebbers could face a sentence of 85 years if convicted of all the charges he is facing.
",0
1246,,"Renault boss hails 'great year'

Strong sales outside western Europe helped Renault boost its profits by more than 40% in 2004 although the firm warned of lower margins this year.

France's second largest carmaker enjoyed a healthy 43% rise in net profits to 2.4bn euros ($3.1bn; Â£2.9bn) as sales rose 8% to 40.7bn euros. The firm said strong demand outside western Europe and the good performance of its Megane range lifted its results. Chairman Louis Schweitzer said 2004 had been a ""great year"" for the firm.

Renault sold more than 2.4 million vehicles in 2004, an increase of 4% on the previous year. Growth came mainly from outside western Europe, with particularly strong sales in Turkey, Russia and North Africa.

In total, sales outside western Europe - Renault's core market - rose 16.5%. Japanese carmaker Nissan - in which Renault owns a 44% stake - contributed 1.7bn euros in net income over the year. Nissan chairman Carlos Ghosn is to succeed Mr Schweitzer at the head of Renault later this year.

Renault said the outlook for the industry in Europe this year was ""stable"", with small growth forecast in other regions. The firm will benefit from the launch of a new Clio model in the coming year and the roll-out of the Logan in many markets. However, the firm said it expected operating margins to be lower in 2005, at 4% of sales as opposed to 5%. ""In a sluggish market and an environment impacted by the rise in raw material prices, Renault intends to continue to grow its global sales,"" the company said in a statement.
",0
1247,,"Survey confirms property slowdown

Government figures have confirmed a widely reported slowdown of the UK's housing market in late 2004.

House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said. The average house price in England and Wales was Â£182,920, down from Â£187,971 in July-September. The volume of sales between October and December dropped by nearly a quarter from the same period in 2003. The government figures are the first official confirmation of falls in the market at the end of 2004. Land Registry figures are less up to date than those of banks and building societies, since they record completions not mortgage approvals. However, the figures are viewed as the most accurate measure of house prices as they include all property transactions, including cash sales.

The cost of buying a home fell in seven out of 10 regions between the third and fourth quarters of 2004.

The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter. House prices rose the slowest in Greater London, being up by 6%. In the capital, the volume of sales fell by 23% from 36,185 in 2003 to 28,041 for the same period in 2004. There was also a decline in the number of million-pound properties sold in the capital, with 436 properties over Â£1m sold compared to 469 for the same period in 2003. Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival. After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year. Members of the Bank of England's rate-setting committee will make their latest decision on interest rates on Thursday.
",0
1248,,"Bush budget seeks deep cutbacks

President Bush has presented his 2006 budget, cutting domestic spending in a bid to lower a record deficit projected to peak at $427bn (Â£230bn) this year.

The $2.58 trillion (Â£1.38 trillion) budget submitted to Congress affects 150 domestic programmes from farming to the environment, education and health. But foreign aid is due to rise by 10%, with more money to treat HIV/Aids and reward economic and political reform. Military spending is also set to rise by 4.8%, to reach $419.3bn. The budget does not include the cost of running military operations in Iraq and Afghanistan, for which the administration is expected to seek an extra $80bn from Congress later this year.

Congress will spend several months debating George W Bush's proposal.

The state department's planned budget would rise to just under $23bn - a fraction of the defence department's request - including almost $6bn to assist US allies in the ""war on terror"". However, the administration is keen to highlight its global effort to tackle HIV/Aids, the BBC's Jonathan Beale reports, and planned spending would almost double to $3bn, with much of that money going to African nations. Mr Bush also wants to increase the amount given to poorer countries through his Millennium Challenge Corporation. The scheme has been set up to reward developing countries that embrace what the US considers to be good governance and sound policies. Yet Mr Bush's proposed spending of $3bn on that project is well below his initial promise of $5bn.

A key spending line missing from proposals is the cost of funding the administration's proposed radical overhaul of Social Security, the pensions programme on which many Americans rely for their retirement income.

Some experts believe this could require borrowing of up to $4.5 trillion over a 20-year period. Neither does the budget include any cash to purchase crude oil for the US emergency petroleum stockpile. Concern over the level of the reserve, created in 1970s, has led to rises in oil prices over the past year. The Bush administration will instead continue to fill the reserve by taking oil - rather than cash - from energy companies that drill under federal leases.

The outline proposes reductions in budgets at 12 out of 23 government agencies including cuts of 9.6% at Agriculture and 5.6% at the Environmental Protection Agency. The spending plan for the year beginning 1 October is banking on a healthy US economy to boost government income by 6.1% to $2.18 trillion. Spending is forecast to grow by 3.5% to $2.57 trillion. But the budget is still the tightest yet under Mr Bush's presidency. ""In order to sustain our economic expansion, we must continue pro-growth policies and enforce even greater spending restraint across federal government,"" Mr Bush said in his budget message to Congress. Mr Bush has promised to halve the US's massive budget deficit within five years. The deficit, partly the result of massive tax cuts early in Mr Bush's presidency, has been a key factor in pushing the US dollar lower. The independent Congressional Budget Office estimates that the shortfall could shrink to little more than $200bn by 2009, returning to the surpluses seen in the late 1990s by 2012. But its estimates depend on the tax cuts not being made permanent, in line with the promise when they were passed that they would ""sunset"", or disappear, in 2010. Most Republicans, however, want them to stay in place. And the figures also rely on the ""Social Security trust fund"" - the money set aside to cover the swelling costs of retirement pensions - being offset against the main budget deficit.
",0
1249,,"Profits stall at China's Lenovo

Profits at Chinese computer firm Lenovo have stood still amid slowing demand at home and stiffening competition.

The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM. Lenovo's profit for the three months to December was HK$327m (US$42m; Â£22m), less than 1% up on the year before. Chinese PC sales have risen by a fifth in each of the past two years, but are now growing more slowly. The company is still by far the biggest player in China, with more than a quarter of the market. But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.

If the $1.75bn agreement Lenovo signed with IBM on 8 December goes through, it will mark the end of an era. IBM pioneered the desktop PC market in the early 1980s, although strategic mis-steps helped lose it its early dominance. In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell. But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage. Its shares are down 20% since the announcement two months ago, largely because of the unprofitability of the unit it is buying. There have been rumours that the deal could be in trouble because US government agencies fear it could offer China opportunities for industrial espionage. The reports of the possibility of an investigation into the risk sent Lenovo's shares up 6% in late January.
",0
1250,,"MCI shares climb on takeover bid

Shares in US phone company MCI have risen on speculation that it is in takeover talks.

The Wall Street Journal reported on Thursday that Qwest has bid $6.3bn (Â£3.4bn) for MCI. Other firms have also expressed an interest in MCI, the second-largest US long-distance phone firm, and may now table rival bids, analysts said. Shares in MCI, which changed its name from Worldcom when it emerged from bankruptcy, were up 2.4% at $20.15. Press reports suggest that Qwest and MCI may reach an agreement as early as next week, although rival bids may muddy the waters. The largest US telephone company Verizon has previously held preliminary merger discussions with MCI, Reuters quoted sources as saying.

Consolidation in the US telecommunications industry has picked up in the past few months as companies look to cut costs and boost client bases. A merger between MCI and Qwest would be the fifth billion-dollar telecoms deal since October. Last week, SBC Communications agreed to buy its former parent and phone trailblazer AT&T for about $16bn. Competition has intensified and fixed-line phone providers such as MCI and AT&T have seen themselves overtaken by rivals. Buying MCI would give Qwest, a local phone service provider, access to MCI's global network and business-based subscribers. MCI also offers internet services.

MCI was renamed after it emerged from Chapter 11 bankruptcy protection in April last year. It hit the headlines as Worldcom in 2002 after admitting it illegally booked expenses and inflated profits. The scandal was a key factor in a global slide in share prices and the reverberations are still being felt today. Shareholders lost about $180bn when the company collapsed, while 20,000 workers lost their jobs. Former Worldcom boss Bernie Ebbers is currently on trial, accused of overseeing an $11bn fraud.
",0
1251,,"BT offers equal access to rivals

BT has moved to pre-empt a possible break-up of its business by offering to cut wholesale broadband prices and open its network to rivals.

The move comes after telecom regulator Ofcom said in November that the firm must offer competitors ""real equality of access to its phone lines"". At the time, Ofcom offered BT the choice of change or splitting into two. Ofcom is carrying out a strategic review aimed at promoting greater competition in the UK telecom sector. BT's competitors have frequently accused it of misusing its status as the former telecoms monopoly and controller of access to many customers to favour its own retail arm.

This latest submission was delivered to the watchdog ahead of a deadline for the second phase of its review.

""Central to the proposals are plans by BT to offer operators lower wholesale prices, faster broadband services and transparent, highly-regulated access to BT's local network,"" the former monopoly said in a statement. ""The United Kingdom has the opportunity to create the most exciting and innovative telecoms market in the world,"" BT chief executive Ben Verwaayen said. ""BT has a critical role to play, and today we are making a set of far-reaching proposals towards that framework,"" he said. BT wants lighter regulation in exchange for the changes, as well as the removal of the break-up threat.

The group is to set up a new Access Services division - with a separate board which would include independent members - to ensure equal access for rivals to the ""local loop"", the copper wires that run between telephone exchanges and households. The company also unveiled plans to cut the wholesale prices of its most popular broadband product by about 8% from April in areas of high customer demand.

It added that it plans to invest Â£10bn in the next five years to create a ""21st Century network"". To meet the growing demand for greater bandwidth, BT said it would begin trials in April with a view to launching higher-speed services nationally from the autumn.

Telecom analysts Ovum welcomed the move, saying BT had ""given a lot of ground"".

""The big question now is whether the industry, and particularly Ofcom feels BT's proposals go far enough ...Now the real negotiation begins,"" director of telecoms research Tony Lavender said. Internet service provider (ISP) Plus.net also backed the proposals saying ""we will be entirely happy if Ofcom accepts them"". ""BT has been challenged to play fair and its plans will introduce a level playing field. The scenario now is how well people execute their business plans as a service provider,"" chief executive Lee Strafford said. Chris Panayis, managing director of ISP Freedom2surf said that it would make the situation clearer for business. ""I think it's the first productive thing we've had from BT,"" he said.

AOL backed the price cuts but said regulation was still needed to ensure a level playing field. ""This is a reminder to Ofcom that as long as BT can change the dynamics of the whole broadband market at will, the process of opening up the UK's local telephone network to infrastructure investment and competition remains fragile,"" a spokesman said. ""Ofcom needs to return to regulation of the wholesale broadband service [IPStream] and provide more robust rules for local loop unbundling if consumers are to see the benefits of increased competition and infrastructure investment."" More than 100 telecom firms, consumer groups and other interested parties are expected to make submissions to the regulator during this consultation phase. Ofcom is expected to spend the next few weeks examining the proposals before making an announcement within the next few months.
",0
1252,,"Jobs growth still slow in the US

The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.

According to Labor Department figures, US firms added only 146,000 jobs in January. The gain in non-farm payrolls was below market expectations of 190,000 new jobs. Nevertheless it was enough to push down the unemployment rate to 5.2%, its lowest level since September 2001. The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office. He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover. As a result, job creation became a key issue in last year's election. However, when adding December and January's figures, the administration's first term jobs record ended in positive territory.

The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.

Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions. ""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group. ""We are not getting the boost to employment that we would have got given the low value of the dollar and the still relatively low interest rate environment."" ""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics. ""That means there are a limited number of new opportunities for workers.""
",0
1253,,"News Corp eyes video games market

News Corp, the media company controlled by Australian billionaire Rupert Murdoch, is eyeing a move into the video games market.

According to the Financial Times, chief operating officer Peter Chernin said that News Corp is ""kicking the tyres of pretty much all video games companies"". Santa Monica-based Activison is said to be one firm on its takeover list. Video games are ""big business"", the paper quoted Mr Chernin as saying. We ""would like to get into it"".

The success of products such as Sony's Playstation, Microsoft's X-Box and Nintendo's Game Cube have boosted demand for video games. The days of arcade classics such as Space Invaders, Pac-Man and Donkey Kong are long gone. Today, games often have budgets big enough for feature films and look to give gamers as real an experience as possible. And with their price tags reflecting the heavy investment by development companies, video games are proving almost as profitable as they are fun.

Mr Chernin, however, told the FT that News Corp was finding it difficult to identify a suitable target. ""We are struggling with the gap between companies like Electronic Arts (EA), which comes with a high price tag, and the next tier of companies,"" he explained during a conference in Phoenix, Arizona. ""These may be too focused on one or two product lines."" Activision has a stock market capitalisation of about $2.95bn (Â£1.57bn), compared to EA's $17.8bn. Some of the games industry's main players have recently been looking to consolidate their position by making acquisitions. France's Ubisoft, one of Europe's biggest video game publishers, has been trying to remain independent since Electronic Arts announced plans to buy 19.9% of the firm. Analysts have said that industry mergers are likely in the future.
",0
1254,,"Call to overhaul UK state pension

The UK pension system has been branded inadequate and too complex by a leading retirement think-tank.

The Pensions Policy Institute (PPI) said replacing the state pension with a ""citizen's pension"" would help tackle inequality and complexity. The change would see pensions being calculated on length of residency in the UK rather than National Insurance (NI) contributions. Reform could reduce poverty by aiding people with broken employment records.

The PPI added that once the state system was reformed the government should look at options to overhaul private and workplace pensions. The think tank's proposals were made in response to the recent publication of the Pensions Commission's initial report into UK retirement savings. According to the Pensions Commission's report 12 million working people are not saving enough for their retirement. As a result, living standards could fall for the next generation of UK pensioners. The report added that a combination of higher taxes, higher savings and/or a higher average retirement age was needed to solve the UK pension crisis.
",0
1255,,"Singapore growth at 8.1% in 2004

Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.

The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector. However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.

Economic growth is set to halve in Singapore this year to between 3% and 5%. In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%. That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts. ""I am surprised at the weak fourth quarter number. The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase. Singapore's economy had contracted over the summer, weighed down by soaring oil prices. The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003.
",0
1256,,"Turkey knocks six zeros off lira

Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.

The change will see the end of such dizzyingly-high denominations as five million lira - enough for a short taxi ride - and the 20m note, worth $15. These valuations were the product of decades of inflation which, as recently as 2001, was as high as 70%. Inflation has since been tamed and economic prospects are improving.

The currency - officially to be known as the new lira - will be launched at midnight on 1 January. From that point, the one-million lira note will become the new one-lira coin. The government hopes the change will be seen as a promise of growing economic stability as Turkey embarks on the long process of trying to join the European Union.

On an everyday level, it is hoped the change will stimulate more international trade and end confusion among foreign investors and Turks alike. ""The transition to the new Turkish lira shows clearly that our economy has broken the vicious circle that it was imprisoned in for long years,"" said Sureyya Serdengecti, head of the Turkish Central Bank. ""The new lira is also the symbol of the stable economy that we dreamed of for long years.""

The Turkish economy teetered on the brink of collapse in 2001 when the lira plunged in value and two million people lost their jobs.

Turkey had to turn to the International Monetary Fund for financial assistance, accepting a $18bn loan in return for pushing through a wide-ranging austerity programme. These tough measures have borne fruit. Inflation fell below 10% earlier this year for the first time in decades while exports are up 30% this year. Meanwhile, the economy is expanding at a healthy rate, with 7.9% growth expected in 2004. The government hopes that the new currency will cement the country's economic progress, two weeks after EU leaders set a date for the start of Turkey's accession talks.

The slimmed-down lira is likely to be widely welcomed by the business community.

""The Turkish lira has been like funny money,"" Tevfik Aksoy, chief Turkish economist for Deutsche Bank, told Associated Press. ""Now at least in cosmetic terms it will look like real currency."" However, some do not feel quite so happy about seeing the nominal value of their investments reduced. ""If a person has 10 billion lira in investments this will suddenly decrease,"" shop owner Hayriye Evren, told Associated Press. ""This will definitely affect people psychologically.""
",0
1257,,"S Korea spending boost to economy

South Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.

It has earmarked 100 trillion won ($96bn) for the first six months of 2005, 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400,000 jobs and will focus on infrastructure and home building, as well as providing public firms with money to hire new workers.

The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action. ""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.

It blamed ""continuing uncertainties such as fluctuating oil prices and foreign exchange rates and stagnant domestic demand that has shown few signs of a quick rebound"". In 2004, growth will be between 4.7% and 4.8%, the ministry said. Not everyone is convinced the plan will work. ""Our primary worry centres on the what we believe is the government's overly optimistic view that its front loading of the budget will be enough to turn the economy around,"" consultancy 4Cast said in a report.

The problem facing South Korea is that many consumers are reeling from the effects of a credit bubble that only recently burst. Millions of South Koreans are defaulting on their credit card bills, and the country's biggest card lender has been hovering on the verge of bankruptcy for months. As part of its spending plans, the government said it will ask firms to ""roll over mortgage loans that come due in the first half of 2005"" . It also pledged to look at ways of helping families on low incomes.

The government voiced concern about the effect of redundancies in the building trade. ""Given the economic spill over and employment effect in the construction sector, a sharp downturn in the construction industry could have other adverse effects,"" the ministry said.

As a result, South Korea will give private companies also will be given the chance to build schools, hospitals, houses and other public buildings. It also will look at real estate tax system. Other plans on the table include promoting new industries such as bio-technology and nano-technology, as well as offering increased support to small and medium sized businesses. ""The focus will be on job creation and economic recovery, given that unfavourable domestic and global conditions are likely to dog the Korean economy in 2005,"" the ministry said.
",0
1258,,"Latin America sees strong growth

Latin America's economy grew by 5.5% in 2004, its best performance since 1980, while exports registered their best performance in two decades.

The United Nations' Economic Commission for Latin America and the Caribbean said the region grew by 5.5% this year. The Inter-American Development Bank (IADB) said regional exports reached $445.1bn (Â£227bn;331bn euros) in 2004. Doubts about the strength of the US recovery and overheating of the Chinese economy do however pose risks for 2005. Both organisations also warned that high oil prices raise the risk of either inflation or recession.

Nevertheless, the Economic Commission for Latin America and the Caribbean (ECLAC) still forecasts growth of 4% for 2005. Strong recovery in some countries, such as Venezuela and Uruguay, boosted the overall performance of the region. ECLAC also said that the six largest Latin American economies (Argentina, Brazil, Chile, Colombia, Mexico and Venezuela) grew by more than 3% for only the second time in 20 years. Chinese and US economic strength helped boost exports, as did strong demand for agricultural and mining products. In fact, Latin American exports to China grew 34%, to $14bn. Higher oil prices also helped boost exports, as Mexico and Venezuela are important oil exporters. Regional blocs as well as free trade agreements with the US contributed to the region's strong performance, the IADB said.
",0
1259,,"Asia shares defy post-quake gloom

Indonesian, Indian and Hong Kong stock markets reached record highs.

Investors seemed to feel that some of the worst-affected areas were so under-developed that the tragedy would have little impact on Asia's listed firms. ""Obviously with a lot of loss of life, a lot of time is needed to clean up the mess, bury the people and find the missing,"" said ABN Amro's Eddie Wong. ""[But] it's not necessarily a really big thing in the economic sense.""

India's Bombay Stock Exchange inched slightly above its previous record close on Wednesday. Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday. In Hong Kong, the Hang Seng index may be benefiting in part from the potential for its listed property companies to gain from rebuilding contracts in the tsunami-affected regions of South East Asia. In Sri Lanka, some economists have said that as much as 1% of annual growth may be lost. Sri Lanka's stock market has fallen about 5% since the weekend, but it is still 40% higher than at the start of 2004.

Thailand may lose 30bn baht (Â£398m; $768m) in earnings from tourism over the next three months, according to tourism minister Sontaya Kunplome.

In the affected provinces, he expects the loss of tourism revenue to be offset by government reconstruction spending. Thailand intends to spend a similar sum - around 30bn baht - on the rebuilding work. ""It will take until the fourth quarter of next year before tourist visitors in Phuket and five other provinces return to their normal level,"" said Naris Chaiyasoot, director general at the ministry's fiscal policy office. In the Maldives the cost of reconstruction could wipe out economic growth, according to a government spokesman. ""Our nation is in peril here,"" said Ahmed Shaheed, the chief government spokesman. He estimated the economic cost of the disaster at hundreds of millions of dollars. The Maldives has gross domestic product of $660m. ""It won't be surprising if the cost exceeds our GDP,"" he said. ""In the last few years, we made great progress in our standard of living - the United Nations recognised this. Now we see this can disappear in a few days, a few minutes."" Shaheed noted that investment in a single tourist resort - the economic mainstay - could run to $40m. Between 10 and 12 of the 80-odd resorts have been severely damaged, and a similar number have suffered significant damage.

However, many experts, including the World Bank, have pointed out that it is still difficult to assess the magnitude of the disaster and its likely economic impact. In part, this is because of its scale, and because delivering aid and recovering the dead remain priorities. ""Calculators will have to wait,"" said an IMF official in a briefing on Wednesday. ""The financial and world community will be turning toward reconstruction efforts and at that point people will begin to have a sense of the financial impact.""
",0
1260,,"Booming markets shed few tears

The market, former British government minister Michael Heseltine once said, has no morality.

And indeed, stock exchange traders around Asia have wasted little time regretting the victims of this week's disaster. Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit. Bigger markets further afield have barely twitched. The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week. And this at a time when - all sentiment aside - insurance costs are already estimated in the tens of billions of dollars, and countries around the region are looking at trimming their growth forecasts.

In fact, the markets are being perfectly rational.

For a start, the notional insurance cost of the disaster will have little bearing on corporate bottom lines. The overwhelming majority of the victims will have had no insurance: according to estimates from India, only one-quarter of those affected there were wealthy enough to afford insurance, and only one-quarter of that group at most will have taken out policies. Indonesia is likely to have even lower take-up rates. And where insurance certainly is in place - in, for example, the many tourist complexes affected - the costs will be borne in far-away corners of the global reinsurance market, rather than landing locally.

Second, stock markets do not trade the sort of companies likely to have been damaged. Most of the biggest companies traded on the soaring Jakarta Stock Exchange are in oil, technology and financial services - none of which have been hit by the flooding. Tourist businesses, the most likely sufferers, are either foreign-owned or too small to have their shares listed. Those that are listed have suffered: Confifi Hotel Holdings, a small Sri Lankan tourism firm, has halved in value this week. But there are winners as well as losers. Asian stock markets are heavily inclined towards property and construction companies, many of which will be rubbing their hands over the reconstruction opportunities. In Indonesia, shares in state construction companies Adhi Karya and Semen Gresik have jumped sharply this week.

More broadly, the academic consensus is that major disasters are largely neutral in their longer-term economic impact.

According to the Natural Hazards Research and Applications Information Center at Colorado State University, there is little evidence that disasters are inevitably followed by a depression. The need to find money to replace lost and damaged property is balanced by the beneficial effect of reconstruction activity; there is rarely, the centre says, any sort of rebuilding boom, but in most cases sizeable indirect losses are avoided. A study of the 1993 Des Moines floods, from the Disaster Research Center at the University of Delaware*, found that 70% of local businesses were no worse off after the disaster, and another 18% felt themselves better off. ""Although it is commonly assumed on the basis of anecdotal evidence that disasters result in business failures and bankruptcies on a large scale, our research indicates that most businesses, even those that are especially hard-hit, do indeed recover,"" the authors concluded.

But disasters have a vast psychological impact, and markets are driven by psychological factors.

In particular, many analysts warn of panic spreading unchecked through the global financial system, as investors seek to cover themselves against the unforeseeable effects of unguessable events. In fact, again, the risks here are lower than they seem. Even the costliest natural disaster is rendered minuscule by the global capital market - currently $30 trillion and rising. A series of recent shocks, the Colorado centre has argued, have demonstrated that this seamless global contagion hardly ever happens: market tremors rarely translate into economic slumps, and economic woes rarely seriously undermine markets. The trillion-dollar debts of Japan's banks, for example, have had no effect on stock markets further afield than Tokyo. And the US stock market was on its way down long before 11 September, 2001; it rose by 20% during the six months following the attacks. ""It is not that the broking community is indifferent to disasters or feelings,"" one Bombay trader said this week. ""But the reaction would have been seen if business had been affected. Business sense probably tends to overrule everything else.""
",0
